질문ID,질문,사용자증상,연령대,의사진단,진단근거,해결책
1,'사람들 앞에서 말할 때 극도로 불안함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사람들 앞에서 말할 때 극도로 불안함,30대,경미한 불안장애로 의심됨,사회적 상황에 대한 불안은 사회불안장애의 특징입니다.,가벼운 신체 활동으로 스트레스를 관리해 보세요.
2,'사람들 앞에서 말할 때 극도로 불안함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사람들 앞에서 말할 때 극도로 불안함,30대,불안장애의 주요 증상에 해당됨,걱정과 두려움의 지속은 불안장애의 전형적인 증상입니다.,필요시 전문가 상담과 진단을 받는 것이 좋습니다.
3,'이유 없이 자주 불안함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이유 없이 자주 불안함,20대,사회불안장애의 가능성이 있음,걱정과 두려움의 지속은 불안장애의 전형적인 증상입니다.,호흡 연습과 명상으로 긴장을 완화해 보세요.
4,'사람들 앞에서 말할 때 극도로 불안함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사람들 앞에서 말할 때 극도로 불안함,20대,중등도 불안장애 증상일 수 있음,사회적 상황에 대한 불안은 사회불안장애의 특징입니다.,가벼운 신체 활동으로 스트레스를 관리해 보세요.
5,'갑작스러운 공포감과 호흡 곤란 경험'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,갑작스러운 공포감과 호흡 곤란 경험,10대,경미한 불안장애로 의심됨,사회적 상황에 대한 불안은 사회불안장애의 특징입니다.,필요시 전문가 상담과 진단을 받는 것이 좋습니다.
6,'몸이 떨리고 땀이 많이 남'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,몸이 떨리고 땀이 많이 남,50대 이상,중등도 불안장애 증상일 수 있음,불안장애의 주요 진단 기준 중 하나입니다.,일정한 수면 습관을 유지하여 불면을 줄이세요.
7,'이유 없이 자주 불안함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이유 없이 자주 불안함,20대,사회불안장애의 가능성이 있음,걱정과 두려움의 지속은 불안장애의 전형적인 증상입니다.,필요시 전문가 상담과 진단을 받는 것이 좋습니다.
8,'긴장감이 지속되어 근육이 경직됨'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,긴장감이 지속되어 근육이 경직됨,10대,경미한 불안장애로 의심됨,불안장애의 주요 진단 기준 중 하나입니다.,호흡 연습과 명상으로 긴장을 완화해 보세요.
9,'긴장감이 지속되어 근육이 경직됨'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,긴장감이 지속되어 근육이 경직됨,30대,중등도 불안장애 증상일 수 있음,걱정과 두려움의 지속은 불안장애의 전형적인 증상입니다.,신뢰할 수 있는 사람과 감정을 나누고 상담을 고려해 보세요.
10,'사소한 일에도 과도하게 긴장함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사소한 일에도 과도하게 긴장함,50대 이상,불안장애 초기 증상 가능성 있음,불안장애 환자들에게 흔히 나타나는 증상입니다.,호흡 연습과 명상으로 긴장을 완화해 보세요.
11,'불면증과 잦은 악몽'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,불면증과 잦은 악몽,20대,중등도 불안장애 증상일 수 있음,걱정과 두려움의 지속은 불안장애의 전형적인 증상입니다.,신뢰할 수 있는 사람과 감정을 나누고 상담을 고려해 보세요.
12,'몸이 떨리고 땀이 많이 남'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,몸이 떨리고 땀이 많이 남,20대,경미한 불안장애로 의심됨,불안장애 환자들에게 흔히 나타나는 증상입니다.,필요시 전문가 상담과 진단을 받는 것이 좋습니다.
13,'항상 최악의 상황을 상상함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,항상 최악의 상황을 상상함,20대,불안장애 초기 증상 가능성 있음,사회적 상황에 대한 불안은 사회불안장애의 특징입니다.,일정한 수면 습관을 유지하여 불면을 줄이세요.
14,'사소한 문제에도 지나치게 걱정함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사소한 문제에도 지나치게 걱정함,10대,불안장애의 주요 증상에 해당됨,사회적 상황에 대한 불안은 사회불안장애의 특징입니다.,가벼운 신체 활동으로 스트레스를 관리해 보세요.
15,'사소한 일에도 과도하게 긴장함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사소한 일에도 과도하게 긴장함,10대,불안장애의 주요 증상에 해당됨,불안장애 환자들에게 흔히 나타나는 증상입니다.,호흡 연습과 명상으로 긴장을 완화해 보세요.
16,'사소한 문제에도 지나치게 걱정함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사소한 문제에도 지나치게 걱정함,50대 이상,경미한 불안장애로 의심됨,걱정과 두려움의 지속은 불안장애의 전형적인 증상입니다.,호흡 연습과 명상으로 긴장을 완화해 보세요.
17,'항상 최악의 상황을 상상함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,항상 최악의 상황을 상상함,50대 이상,사회불안장애의 가능성이 있음,불안장애 환자들에게 흔히 나타나는 증상입니다.,필요시 전문가 상담과 진단을 받는 것이 좋습니다.
18,'사소한 일에도 과도하게 긴장함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사소한 일에도 과도하게 긴장함,10대,중등도 불안장애 증상일 수 있음,불안장애의 주요 진단 기준 중 하나입니다.,신뢰할 수 있는 사람과 감정을 나누고 상담을 고려해 보세요.
19,'불면증과 잦은 악몽'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,불면증과 잦은 악몽,50대 이상,불안장애의 주요 증상에 해당됨,불안장애 환자들에게 흔히 나타나는 증상입니다.,필요시 전문가 상담과 진단을 받는 것이 좋습니다.
20,'이유 없이 자주 불안함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이유 없이 자주 불안함,10대,경미한 불안장애로 의심됨,걱정과 두려움의 지속은 불안장애의 전형적인 증상입니다.,가벼운 신체 활동으로 스트레스를 관리해 보세요.
21,'이유 없이 자주 불안함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이유 없이 자주 불안함,50대 이상,불안장애 초기 증상 가능성 있음,걱정과 두려움의 지속은 불안장애의 전형적인 증상입니다.,필요시 전문가 상담과 진단을 받는 것이 좋습니다.
22,'불면증과 잦은 악몽'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,불면증과 잦은 악몽,50대 이상,중등도 불안장애 증상일 수 있음,불안장애의 주요 진단 기준 중 하나입니다.,일정한 수면 습관을 유지하여 불면을 줄이세요.
23,'불면증과 잦은 악몽'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,불면증과 잦은 악몽,20대,중등도 불안장애 증상일 수 있음,불안장애의 주요 진단 기준 중 하나입니다.,가벼운 신체 활동으로 스트레스를 관리해 보세요.
24,'사람들 앞에서 말할 때 극도로 불안함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사람들 앞에서 말할 때 극도로 불안함,50대 이상,사회불안장애의 가능성이 있음,불안장애의 주요 진단 기준 중 하나입니다.,필요시 전문가 상담과 진단을 받는 것이 좋습니다.
